# name, z, sbv, time, p5, p5e, p6, p6e, vsi, vsie, p(cn), p(ss), p(bl), p(cl), PCs
        ASAS14hp 0.03889333 1.08640368 -2.39100000 3.45283871 2.11436796 54.37217726 1.93902904 10.45973508 0.05930033 0.00031022 0.99968757 0.00000000 0.00000221 0.62130135 -1.93530896 6.85517957 -6.04038238 -0.47254592 -2.93112252 -2.03265182 2.95399974 -0.35632256 -0.08280012
        ASAS14kd 0.02598201 1.13216307 3.53700000 0.68754858 2.20740435 35.82920323 2.06064990 11.05749236 0.05693230 0.00000122 0.99999876 0.00000000 0.00000003 1.97806289 -3.36967642 6.03240456 -3.87532482 0.73089134 -2.88979997 -1.45549616 1.43708358 1.45905851 -0.54955217
        ASAS14kq 0.03357667 1.18925290 -2.27500000 8.51841693 1.98357472 78.03305923 1.85532601 10.63040983 0.12267479 0.06619197 0.93344730 0.00000000 0.00036073 0.92277536 -1.56631609 3.49737587 -1.74319806 0.53667971 -1.45611108 -1.17914636 1.43146635 1.20189337 1.28724447
        ASAS14lp 0.00509667 1.08278051 -1.06000000 9.82243339 2.85007416 68.62908102 2.68457531 11.31401312 0.10321980 0.00973222 0.99022156 0.00000000 0.00004622 -3.24900617 3.28169290 3.45988813 -3.24966965 -2.63686970 0.30208402 -0.77494933 2.41547043 -8.10663797 -2.15983317
        ASAS14me 0.01798755 1.08670314 -1.74400000 6.13300468 2.40378890 71.50696712 2.92648246 10.37443162 0.24676987 0.01883889 0.98106210 0.00000000 0.00009901 1.44863157 -3.17038357 6.29659519 -5.53357523 0.22405987 -3.28123557 -1.99615050 2.54394165 2.39199719 1.53235521
        ASAS14my 0.02050000 0.90530454 -3.55900000 15.69105914 2.11931934 107.32684462 2.06084045 11.99906264 0.13243694 0.88738456 0.08573482 0.00001302 0.02686760 -1.66219389 2.29247720 0.03337583 0.19675379 -0.58930087 1.91110678 -1.05596019 0.95946681 -3.03934660 -1.90115801
        ASAS15ba 0.02311667 0.96839394 4.03600000 7.47456399 2.05515315 117.55084627 2.05538953 11.48513994 0.07302598 0.82333444 0.08360209 0.02356361 0.06949986 1.36682579 0.38957254 -6.44679079 7.66818147 1.16759958 -0.23395245 1.93866981 -3.67311804 4.95987657 2.05915636
        ASAS15be 0.02188333 1.19665177 -1.43000000 5.59129577 2.13722775 90.10601248 2.02393461 11.91335238 0.10898411 0.40593972 0.59020348 0.00000023 0.00385657 2.59700909 -2.76249148 2.18823500 2.98420350 3.51614569 1.60986839 -1.12288017 -0.36628148 4.07245443 0.23172597
        ASAS15bm 0.02078561 0.99557184 1.17100000 5.61261840 2.14666167 73.06580440 2.09273008 10.63040983 0.06931592 0.02750596 0.97234362 0.00000000 0.00015042 -1.94697940 0.68427830 3.49206497 -3.56421541 -0.98473882 0.79675255 -1.23089915 2.44350140 -3.74508117 1.20456400
        ASAS15da 0.03918000 0.82453452 2.12000000 0.00000000 0.00000000 24.78358857 2.18103867 5.96984202 0.22776199 0.00000002 0.99999998 0.00000000 0.00000000 -2.18906513 -1.73304584 11.81797290 -14.02900120 -2.54552297 -1.93766753 -2.59424721 5.94154811 -6.80960868 1.23201661
        ASAS15db 0.01099000 0.92229910 0.39000000 9.14542569 2.05958101 61.81643210 1.87109685 10.54506115 0.12372569 0.00177745 0.99821373 0.00000000 0.00000882 1.50179242 -3.42551085 1.46560274 -2.49034623 -0.00680230 -3.20324027 0.47541607 0.29482739 3.71711486 3.58438240
        ASAS15dd 0.02435667 0.82771172 2.09600000 9.44174955 2.18582413 102.52508681 2.17919083 10.80117503 0.06764517 0.73606174 0.25005335 0.00001720 0.01386771 0.35120330 1.36613059 -4.52621584 5.22800524 0.33934777 0.69332669 1.27456486 -2.59727599 0.73554338 -1.17726313
        ASAS15fr 0.03341333 0.88290345 0.24200000 12.94880314 2.07116767 108.37062565 2.05624812 11.82766472 0.12168085 0.84741459 0.12634923 0.00006265 0.02617352 0.50878665 1.96438596 -3.75711103 4.71738030 0.00944660 -0.06293277 0.37008352 -2.15154352 0.11907019 -3.52917842
